EMPRESA,Empresa,Prefixo,Litros
21,"São Paulo",0063024,220.26
21,"São Paulo",0063025,282.42
21,"São Paulo",0063026,223.03
21,"São Paulo",0063027,266.25
21,"São Paulo",0063028,211.849
21,"São Paulo",0063029,356.62
21,"São Paulo",0063030,233.88
21,"São Paulo",0063031,404.029
21,"São Paulo",0063032,398.449
21,"São Paulo",0063033,478.55
21,"São Paulo",0063034,438.43
21,"São Paulo",0063035,464.48
21,"São Paulo",0063036,439.92
21,"São Paulo",0063037,358.28
21,"São Paulo",0063038,364.009
21,"São Paulo",0063039,490.339
21,"São Paulo",0063040,372.019
21,"São Paulo",0063041,426.66
21,"São Paulo",0063042,366.55
21,"São Paulo",0063043,435.75
21,"São Paulo",0063044,428.1
21,"São Paulo",0063045,443.829
21,"São Paulo",0063046,353.29
21,"São Paulo",0063047,231.34
21,"São Paulo",0063048,200.77
21,"São Paulo",0063049,281.51
21,"São Paulo",0063050,280.37
21,"São Paulo",0063051,482.1
21,"São Paulo",0063052,486.57
21,"São Paulo",0063053,359.87
21,"São Paulo",0063054,392.56
21,"São Paulo",0063055,393.06
21,"São Paulo",0063056,373.579
21,"São Paulo",0063057,402.93
21,"São Paulo",0063058,398.699
21,"São Paulo",0063059,384.029
21,"São Paulo",0063060,396.069
21,"São Paulo",0063061,388.629
21,"São Paulo",0063062,379.37
21,"São Paulo",0063063,348.819
21,"São Paulo",0063064,320.589
21,"São Paulo",0063065,318.48
21,"São Paulo",0063066,338.629
21,"São Paulo",0063067,332.19
21,"São Paulo",0063069,361.3
21,"São Paulo",0063070,372.899
21,"São Paulo",0063071,275.36
21,"São Paulo",0063072,507.46
21,"São Paulo",0063074,353.93
21,"São Paulo",0063075,370.23
21,"São Paulo",0063076,286.91
21,"São Paulo",0063077,322.85
21,"São Paulo",0063080,262.83
21,"São Paulo",0063081,300
21,"São Paulo",0063082,295.011
21,"São Paulo",0063083,332.629
21,"São Paulo",0063084,329.781
21,"São Paulo",0063085,295.891
21,"São Paulo",0063086,323.101
21,"São Paulo",0063087,301.03
21,"São Paulo",0063088,311.481
21,"São Paulo",0063089,320
21,"São Paulo",0063090,313.45
