HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
24/01/2025;0063652;21;165;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;36;2751;2528;DMI-7D57;112;218999;218686;313
24/01/2025;0063101;21;1;0;ERRO;null;null;null;500;03/07/2025 08:00;3;2;52;2696;2740;STF-4C62;54;67842;41904;25938
25/01/2025;0063600;21;9;141;ERRO;21604578;21604436;141;300;03/07/2025 07:59;2;3;27;4124;737;GKC-0A14;110;370484;370277;207
26/01/2025;0064425;21;68;42;ERRO;29926545;29926503;42;600;03/07/2025 07:59;109;10;43;null;1637;ENZ-9444;null;397616;397511;105
26/01/2025;0064320;21;116;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2040;FNK-4206;112;436973;436805;168
26/01/2025;0064480;21;270;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2437;DVI-0H52;112;262839;262468;371
26/01/2025;0064266;21;143;88;ERRO;29929951;29929863;88;600;03/07/2025 07:59;109;10;43;null;2313;GCC-6F81;null;358290;358070;220
26/01/2025;0063685;21;93;56;ERRO;22011353;22011297;56;400;03/07/2025 07:59;109;10;36;null;2583;null;null;145800;145655;145
27/01/2025;0063003;21;201;92;ERRO;20158637;20158546;92;600;03/07/2025 08:00;3;2;9;null;1523;FGL-7061;null;815312;815081;231
27/01/2025;0063041;21;143;62;ERRO;20155856;20155794;62;600;03/07/2025 08:00;3;2;9;null;1597;FJU-4787;null;691167;691167;0
27/01/2025;0006404;21;247;0;ERRO;null;null;null;615;03/07/2025 07:59;109;10;43;2751;1141;EZL-0178;112;452362;452362;0
27/01/2025;0063013;21;193;123;ERRO;25260425;25260302;123;600;03/07/2025 08:00;3;2;8;null;1533;FDG-4755;null;756734;756502;232
27/01/2025;0064264;21;87;46;ERRO;29934617;29934571;46;600;03/07/2025 07:59;109;10;43;2456;2307;GIE-7705;58;246012;245870;142
27/01/2025;0064451;21;172;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2408;GGT-1D91;112;318029;317746;283
27/01/2025;0064464;21;114;71;ERRO;29933580;29933510;71;500;03/07/2025 07:59;109;10;43;null;2421;GIT-4H37;null;295540;295381;159
27/01/2025;0064301;21;134;99;ERRO;22015979;22015880;99;400;03/07/2025 07:59;109;10;36;null;2594;null;null;119853;119654;199
28/01/2025;0063022;21;163;96;ERRO;29111388;29111292;96;600;03/07/2025 08:00;1;1;31;null;1542;FXR-2336;null;769063;769063;0
28/01/2025;0064624;21;106;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2463;FRO-0012;112;231186;231046;140
