Prefixo;Tipo_Frota;Empresa;Tanque
2946;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2947;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2948;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2949;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2950;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2951;BÁSICO - PE;Pernambuco;300
2952;BÁSICO - PE;Pernambuco;300
2953;BÁSICO - PE;Pernambuco;300
2954;BÁSICO - PE;Pernambuco;300
2955;BÁSICO - PE;Pernambuco;300
2956;BÁSICO - PE;Pernambuco;300
2957;BÁSICO - PE;Pernambuco;300
2958;BÁSICO - PE;Pernambuco;300
2959;BÁSICO - PE;Pernambuco;300
2960;BÁSICO - PE;Pernambuco;300
2961;BÁSICO - PE;Pernambuco;300
2962;BÁSICO - PE;Pernambuco;400
2963;BÁSICO - PE;Pernambuco;300
2964;BÁSICO - PE;Pernambuco;300
2965;BÁSICO - PE;Pernambuco;300
2966;BÁSICO - PE;Pernambuco;300
2967;BÁSICO - PE;Pernambuco;450
2968;BÁSICO - PE;Pernambuco;300
2969;BÁSICO - PE;Pernambuco;300
2970;BÁSICO - PE;Pernambuco;300
2971;BÁSICO - PE;Pernambuco;300
2972;BÁSICO - PE;Pernambuco;300
2973;BÁSICO - PE;Pernambuco;300
2974;BÁSICO - PE;Pernambuco;600
2975;BÁSICO - PE;Pernambuco;450
2976;BÁSICO - PE;Pernambuco;300
2977;BÁSICO - PE;Pernambuco;300
2978;BÁSICO - PE;Pernambuco;300
2979;BÁSICO - PE;Pernambuco;300
2980;BÁSICO - PE;Pernambuco;300
6301;APOIO;Sao Paulo;275
6303;APOIO;Sao Paulo;600
6307;APOIO;Sao Paulo;800
6311;APOIO;Sao Paulo;150
6312;APOIO;Sao Paulo;200
6320;APOIO;Sao Paulo;500
6340;APOIO;Sao Paulo;300
6404;APOIO;Sao Paulo;615
52353;MICRO MUNICIPAL - DIADEMA;Pernambuco;450
63001;SUPER ARTICULADO SP;Sao Paulo;500
63002;SUPER ARTICULADO SP;Sao Paulo;600
63003;SUPER ARTICULADO SP;Sao Paulo;600
63004;SUPER ARTICULADO SP;Sao Paulo;600
63005;SUPER ARTICULADO SP;Sao Paulo;500
63006;SUPER ARTICULADO SP;Sao Paulo;600
63007;SUPER ARTICULADO SP;Sao Paulo;500
63008;SUPER ARTICULADO SP;Sao Paulo;600
63009;SUPER ARTICULADO SP;Sao Paulo;600
63010;SUPER ARTICULADO SP;Sao Paulo;600
63011;ARTICULADO SP;Sao Paulo;600
